season,week,team,full_name,name_std,position,source_status,practice_status,availability,retrieved_at
2026,3,NE,Quintayvious Hutchins,quintayvioushutchins,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,NE,Reggie Gilliam,reggiegilliam,FB,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,PIT,Rico Dowdle,ricodowdle,RB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,MIA,Rob Beal Jr.,robbeal,DE,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,LAC,Rodney Shelley,rodneyshelley,CB,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,SF,Romello Height,romelloheight,DE,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,BAL,Ronnie Stanley,ronniestanley,T,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,ARI,Roy Lopez,roylopez,DT,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,TB,Rueben Bain Jr.,ruebenbain,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,MIA,Ryan Miller,ryanmiller,WR,Questionable,Full Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,WAS,Sam Cosmi,samcosmi,G,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,ATL,Samson Ebukam,samsonebukam,DE,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,CHI,Shemar Turner,shemarturner,DE,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,PHI,Tank Bigsby,tankbigsby,RB,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,BUF,Terrel Bernard,terrelbernard,LB,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,CLE,Teven Jenkins,tevenjenkins,G,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,DET,Thomas Harper,thomasharper,S,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,BUF,T.J. Sanders,tjsanders,DE,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,TEN,Tony Pollard,tonypollard,RB,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,HOU,Trent Brown,trentbrown,T,Questionable,Full Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,LV,Treydan Stukes,treydanstukes,S,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,LAC,Trey Lance,treylance,QB,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,LAC,Trey Pipkins,treypipkins,T,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,MIA,Tucker Addington,tuckeraddington,LS,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,TEN,Tyjae Spears,tyjaespears,RB,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,NYG,Tyler Nubin,tylernubin,S,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,SEA,Ty Okada,tyokada,S,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,CHI,Tyrique Stevenson,tyriquestevenson,CB,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,CHI,Tyson Bagent,tysonbagent,QB,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,CLE,Tyson Campbell,tysoncampbell,CB,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,GB,Warren Brinson,warrenbrinson,DT,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,HOU,Will Anderson Jr.,willanderson,DE,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,PHI,Will Shipley,willshipley,RB,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,CAR,Xavier Legette,xavierlegette,WR,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,GB,Zach Bako-Bewele,zachbakobewele,T,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,BAL,Zay Flowers,zayflowers,WR,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
