game,commence_time,consensus_total,model_projection,claimed_edge,calibrated_projection,calibrated_edge,model_over_prob,model_under_prob,market_over_prob,prob_edge_over_pp,push_prob,best_over_price,best_over_book,best_under_price,best_under_book,ev_over_per_100,ev_under_per_100,best_side,best_ev_per_100,calibration_beta,calibration_sd,calibration_significant
DET @ BUF,2026-09-18T00:15:00Z,54.5,47.23194433557597,-7.268055664424033,54.18728289779654,-0.3127171022034574,0.4903576079328733,0.5096423920671267,0.507527529249828,-1.7169921316954717,0.0,-107,lowvig,100,draftkings,-5.136425381210485,1.9284784134253385,under,1.9284784134253385,0.04302623929177619,12.93703107690231,False
CAR @ ATL,2026-09-20T17:00:00Z,44.0,42.38216081972134,-1.6178391802786578,43.93039046429372,-0.06960953570627737,0.4977868167660402,0.5022131832339599,0.5,-0.22131832339598034,0.03082911460230159,-107,lowvig,-107,lowvig,-3.5851432888351358,-2.755226989467521,under,-2.755226989467521,0.04302623929177619,12.93703107690231,False
CIN @ HOU,2026-09-20T17:00:00Z,46.0,49.49764717738287,3.4976471773828735,46.15049060441228,0.15049060441228335,0.5047846436640945,0.49521535633590547,0.4891657638136511,1.5618879850443357,0.030827475895631118,-102,lowvig,-110,betus,-0.03183254742798138,-5.290602825149677,over,-0.03183254742798138,0.04302623929177619,12.93703107690231,False
CLE @ TB,2026-09-20T17:00:00Z,41.5,43.268502060334704,1.7685020603347041,41.57609199283596,0.07609199283596269,0.5023464532113409,0.4976535467886592,0.5,0.23464532113408598,0.0,-102,fanduel,-107,lowvig,-0.515702403244267,-3.7249680511659222,over,-0.515702403244267,0.04302623929177619,12.93703107690231,False
GB @ NYJ,2026-09-20T17:00:00Z,44.5,37.49608988291435,-7.003910117085653,44.19864808732418,-0.30135191267581973,0.4907079802648109,0.5092920197351891,0.5,-0.9292019735189117,0.0,-107,lowvig,-106,williamhill_us,-5.068643070265555,-1.0243810703311707,under,-1.0243810703311707,0.04302623929177619,12.93703107690231,False
MIN @ CHI,2026-09-20T17:00:00Z,48.0,48.58698118066968,0.5869811806696816,48.02525559273926,0.025255592739263477,0.500802986401787,0.4991970135982131,0.5,0.08029864017869981,0.030829501937643167,-107,lowvig,-107,lowvig,-3.0196289550561706,-3.320738789276973,over,-3.0196289550561706,0.04302623929177619,12.93703107690231,False
NO @ BAL,2026-09-20T17:00:00Z,46.5,49.47515732240045,2.975157322400449,46.62800983088428,0.12800983088428097,0.5039474049509969,0.49605259504900306,0.4891657638136511,1.4781641137345758,0.0,-102,lowvig,-108,betrivers,-0.19865117637121177,-4.463944657229046,over,-0.19865117637121177,0.04302623929177619,12.93703107690231,False
PHI @ TEN,2026-09-20T17:00:00Z,39.5,44.23126844598514,4.731268445985137,39.70356868831059,0.2035686883105896,0.5062772366398199,0.49372276336018006,0.5,0.6277236639819939,0.0,-107,lowvig,-105,bovada,-2.056646743511459,-3.6065081058696102,over,-2.056646743511459,0.04302623929177619,12.93703107690231,False
PIT @ NE,2026-09-20T17:00:00Z,41.5,41.87000619385617,0.3700061938561703,41.5159199750363,0.015919975036297274,0.500490927903336,0.49950907209666395,0.5,0.0490927903336047,0.0,-107,lowvig,-107,williamhill_us,-3.1760541345882576,-3.366001940178087,over,-3.1760541345882576,0.04302623929177619,12.93703107690231,False
JAX @ DEN,2026-09-20T20:05:00Z,45.5,49.3468698893592,3.8468698893591977,45.665516344383896,0.16551634438389584,0.5051039273319629,0.4948960726680371,0.5,0.5103927331962854,0.0,-105,fanduel,-107,lowvig,-1.3844713304263068,-4.258423324968518,over,-1.3844713304263068,0.04302623929177619,12.93703107690231,False
